date,calories,morning_weight_lbs,body_fat_percentage,muscle_mass_percentage
7/21/20,2208,,,
7/22/20,2231,,,
7/23/20,2117,143,,
7/24/20,1995,144,,
7/25/20,2188,143,,
7/26/20,2204,143,,
7/27/20,2026,141,,
7/28/20,2309,145,,
7/29/20,2172,149,16.8,45
7/30/20,2103,149,17,44.9
7/31/20,2247,146.6,16.5,45.2
8/1/20,2242,146.6,16.5,45.2
8/2/20,2280,147.5,16.5,45.2
8/3/20,2249,148.1,16.7,45.1
8/4/20,2085,146.8,16.4,45.2
8/5/20,2359,147.3,16.6,45.1
8/6/20,2337,,,
8/7/20,2228,147.5,16.6,45.1
8/8/20,2175,146.6,16.4,45.2
8/9/20,2194,146.4,16.5,45.2
8/10/20,2051,146.2,16.3,45.3
8/11/20,1992,146.8,16.4,45.3
8/12/20,2046,145.7,16.3,45.3
8/13/20,2172,146.2,16.3,45.3
8/14/20,2274,145.5,16.1,45.4
8/15/20,2176,145.9,16.3,45.3
8/16/20,2058,145.9,16.2,45.3
8/17/20,2081,145.7,16.1,45.4
8/18/20,1875,145.7,16.1,45.4
8/19/20,2028,145.7,16.2,45.3
8/20/20,2017,145.5,16.1,45.4
8/21/20,2042,145.9,16.2,45.3
8/22/20,2081,146.6,16.3,45.3
8/23/20,2028,145.5,16.4,45.2
8/24/20,2013,145.7,16.3,45.3
8/25/20,1870,146.2,16.3,45.3
8/26/20,2093,145.5,16.2,45.4
8/27/20,1935,145.7,16.2,45.3
8/28/20,2000,144.4,15.9,45.5
8/29/20,2091,145.1,15.9,45.5
8/30/20,2023,145.5,16.1,45.4
8/31/20,2030,144.6,16,45.5
9/1/20,1862,144.8,16,45.4
9/2/20,1762,144.6,16,45.5
9/3/20,1914,144.2,15.8,45.6
9/4/20,1974,144.4,15.9,45.5
9/5/20,2070,143.7,15.6,45.7
9/6/20,2032,143.5,15.7,45.6
9/7/20,2133,146.2,16.3,45.3
9/8/20,2055,143.7,15.7,45.6
9/9/20,1962,144,15.7,45.6
9/10/20,2038,143.7,15.7,45.5